evid,time,latitude,longitude,depth_km,magnitude,moment,Mnn,Mee,Mdd,Mne,Mnd,Med,iso,iso_std,clvd,clvd_std,strike_1,strike_2,strike_std,dip_1,dip_2,dip_std,rake_1,rake_2,rake_std,n_picks_used
awr_000072,2019-04-07T18:52:58.223000,36.07304,-117.68512,2.587,2.2906818594751117,3435759762674.666,-2898232315669.099,3774146169282.869,-340314607706.059,372069692954.0972,-417452468185.40704,-334470895214.44904,4.66677734811,10.62619399335,25.5702144672,24.51683287695,132.120021788,41.6779465693,0.955098606129,87.3915339284,80.387692633,3.43888265001,-170.377627815,-2.64563616302,3.62946756828,21
awr_000078,2019-04-07T19:51:24.235000,36.07251,-117.68562,2.616,2.1390526191033112,2035068015391.8347,-1796590981750.5466,2039652497496.196,553875662274.1926,449900889993.98175,-51026486803.04933,-298558966275.0959,11.1613437776,13.81623933125,-19.4110678395,37.03027250065,307.888193205,38.8986240624,1.79878984185,82.7117893454,82.1493665856,5.47761472029,172.085013074,7.35754526578,6.37218826376,19
awr_000136,2019-04-12T15:43:17.698000,36.06916,-117.68949,2.636,2.301700828991683,3569038587742.9106,-2740811283070.384,3721132645229.402,-1279649253595.9978,832237865184.1521,-722522435388.2006,158711922674.38318,-2.47765580469,8.2677268763,44.1335877797,20.94857405435,129.80921515,35.6349221743,1.72248583407,74.335739122,75.4481821415,6.07143511636,-164.873740853,-16.1974482911,6.84688624148,19
awr_000149,2019-04-12T20:33:51.274000,36.06912,-117.68933,2.671,2.27423485753316,3246028183873.7866,-2276399724620.68,3609691754340.0215,-653093786346.9946,416292760611.55975,-1003910123641.4392,-190690563299.12997,6.2027041561,17.28498633145,23.6687563135,37.8239894571,133.930245915,38.3506001919,3.33321463241,75.1702938781,69.8353891036,5.19255630545,-159.108684099,-15.8225746254,7.04512648173,16
awr_000165,2019-04-13T09:06:58.387000,36.06914,-117.68987,2.593,2.592168844319244,9733146638994.135,-7572268765390.783,10050623920835.947,-3854359025938.183,554556137166.1018,-2741659832646.9785,552017093786.5195,-4.1691623559,5.4269442748,35.3831229441,14.49684267275,136.584150837,39.5107312734,1.57399821573,69.1359813997,72.095219773,3.73759125186,-160.791318848,-21.9796960477,4.43143072219,20
awr_000184,2019-04-13T23:53:57.027000,36.12415,-117.6765,2.316,1.8724937152555239,810476772482.6519,-666502204282.4943,786699900300.5258,145876816949.6619,-117785759496.61906,191568495116.45377,-253179070398.1968,9.91646557821,10.05193920605,1.13697836935,44.64670973175,50.7706562636,318.395155633,1.62144035574,84.3927389387,67.1118473697,4.0542044664,23.0045015044,173.911785909,5.43162595283,15
awr_000233,2019-04-17T03:32:06.160000,36.12476,-117.67684,2.254,2.025465418710065,1374668965215.4172,-1213953323816.679,1214673268970.6985,118348509892.56197,-434715977911.3448,297585249661.9083,-361413482569.4966,2.79618658819,6.6218692743,1.67807955293,24.685631978,55.810734566,323.846703625,1.19350040915,84.4124319305,70.6937998475,2.94352740552,19.4020530702,174.078336621,3.32414435574,18
awr_000289,2019-04-20T14:54:55.106000,36.06877,-117.69085,2.51,1.9972710433649408,1247115178613.6492,-944203681128.2244,1183807057370.6516,-489329440386.4823,439069113109.94775,-293931365318.8895,-99686580041.51228,-5.73648306878,6.9822510556,42.3943875326,19.2500923333,126.364740158,31.9924000071,2.13764998585,77.8949822786,70.4314728203,6.46048462976,-159.967647073,-12.8593705849,7.17026528845,19
awr_000318,2019-04-22T08:12:49.771000,35.38084,-118.55646,7.859,3.194103143950845,77831377328129.27,-43637190965130.16,77975145738003.8,-8049555503509.816,24363538387354.17,32257780016953.39,-19975368743086.344,10.0947862744,8.8299046046,-4.48328695786,16.21004651505,308.097832934,210.272441864,2.54706126643,61.8308066039,75.7345101712,2.77352682017,-163.768279408,-29.1499404668,2.9168264401,27
awr_000347,2019-04-25T09:55:49.858000,36.0152,-117.81291,2.597,1.7572720736027656,544387457190.6977,-172885147783.93002,509236323162.55066,-389545038296.1313,-75111298487.11679,-216609991308.29355,152702279108.05502,-3.01825789627,5.97742092805,19.0233465514,18.6477260185,31.9093473667,158.676229579,3.43752719116,61.8423341624,41.8036901401,2.09257045147,-57.7250589781,-134.932387194,5.36537194013,15
