,Unnamed: 0,time,latitude,longitude,depth,magnitude,event_description,associated_phase_count,azimuthal_gap,event_id,horizontal_uncertainty,local_magnitude,moment_magnitude,duration_magnitude,magnitude_type,p_phase_count,s_phase_count,p_pick_count,s_pick_count,standard_error,used_phase_count,station_count,vertical_uncertainty,updated,author,agency_id,creation_time,version,stations,strike,dip,rake,kappa,scalar error,template-id,Slip style
0,0,2009-01-02 22:33:53.563403,-41.729526,174.277833,9382.812,1.30368519896,,8.0,174.884,smi:local/2016_11_16t14_39_46_20090102T223356.858389,,1.30368519896,,,ML,3.0,5.0,3.0,9.0,0.146786,8.0,5.0,6972.04417657,2021-06-09 18:35:54.000000,EQcorrscan,,2021-06-08 10:52:44.317581,,"BSWZ, CAW, KHZ, OGWZ, TCW",,,,,,2016_11_16t14_39_46,Unknown
1,1,2009-01-18 00:49:19.929000,-42.19266,173.62211,20964.0,2.33115746372,,0.0,,smi:local/2016_11_13t23_57_51_20090118T004930.681710,,2.33115746372,,,ML,0.0,0.0,3.0,8.0,0.495,15.0,0.0,0.0,2021-06-09 18:35:56.000000,EQcorrscan,,2021-06-08 10:56:17.683657,,,,,,,,2016_11_13t23_57_51,Unknown
2,2,2009-01-18 14:15:14.879275,-42.670493,173.162963,4304.688,2.70710021126,,7.0,212.796,smi:local/2016_12_02t18_08_12_20090118T141522.015044,,2.70710021126,,,ML,1.0,6.0,1.0,6.0,0.41095,7.0,6.0,21764.7880762,2021-06-09 18:35:58.000000,EQcorrscan,,2021-06-08 10:56:17.644391,,"DSZ, KHZ, LTZ, THZ, TUWZ, WEL",,,,,,2016_12_02t18_08_12,Strike-slip
3,3,2009-01-22 12:28:13.086000,-41.73742,174.2547,13493.0,2.34010897259,,0.0,,smi:local/2016_11_14t11_14_23_20090122T122816.865044,770.0,2.34010897259,,,ML,0.0,0.0,9.0,16.0,1.2574025974,188.0,0.0,369.0,2021-06-09 18:36:04.000000,EQcorrscan,,2021-06-08 10:57:08.191076,,,,,,,,2016_11_14t11_14_23,Strike-slip
4,4,2009-01-26 05:29:42.344397,-42.118323,173.72762,-2296.875,1.03447321866,,8.0,180.623,smi:local/2016_11_27t02_47_52_20090126T052946.978190,,1.03447321866,,,ML,4.0,4.0,4.0,6.0,0.369873,8.0,7.0,6775.6697086,2021-06-09 18:36:05.000000,EQcorrscan,,2021-06-08 10:59:43.605910,,"BSWZ, DSZ, KHZ, LTZ, TCW, THZ, TUWZ",,,,,,2016_11_27t02_47_52,Strike-slip
5,5,2009-02-02 15:07:26.047323,-42.228424,173.835492,10984.375,1.74157358947,,9.0,152.166,smi:local/2016_12_24t06_28_02_20090202T150728.510207,,1.74157358947,,,ML,3.0,6.0,3.0,10.0,0.3306,9.0,8.0,23962.6167185,2021-06-09 18:36:07.000000,EQcorrscan,,2021-06-08 11:01:05.993459,,"CAW, DUWZ, KIW, MQZ, OGWZ, PLWZ, THZ, WEL",,,,,,2016_12_24t06_28_02,Strike-slip
6,6,2009-02-15 01:53:46.667586,-41.746027,174.421598,3601.562,1.09404196622,,10.0,170.257,smi:local/2016_11_19t23_50_14_20090215T015351.718872,,1.09404196622,,,ML,2.0,8.0,2.0,13.0,0.653155,10.0,8.0,3570.18206819,2021-06-09 18:36:09.000000,EQcorrscan,,2021-06-08 11:01:43.701296,,"BSWZ, CAW, CMWZ, KHZ, KIW, MTW, OGWZ, THZ",,,,,,2016_11_19t23_50_14,Normal
7,7,2009-02-23 18:01:20.934000,-41.68235,174.40567,3821.0,1.49025383713,,0.0,,smi:local/2016_11_19t23_50_14_20090223T180126.171541,175.0,1.49025383713,,,ML,0.0,0.0,6.0,20.0,0.663777263714,123.0,0.0,553.0,2021-06-09 18:36:11.000000,EQcorrscan,,2021-06-08 11:02:31.197010,,,,,,,,2016_11_19t23_50_14,Normal
8,8,2009-03-06 11:35:21.420000,-42.44973,173.50995,9387.0,1.49592920526,,0.0,,smi:local/2016_12_14t14_48_17_20090306T113524.620244,301.0,1.49592920526,,,ML,0.0,0.0,4.0,11.0,2.5675,65.0,0.0,512.0,2021-06-09 18:36:13.000000,EQcorrscan,,2021-06-08 11:06:18.900796,,,,,,,,2016_12_14t14_48_17,Strike-slip
9,9,2009-03-07 16:33:25.137000,-42.11223,173.73581,12631.0,2.42689078081,,0.0,,smi:local/2016_11_27t02_47_52_20090307T163329.029947,794.0,2.42689078081,,,ML,0.0,0.0,14.0,21.0,0.652895780743,742.0,0.0,206.0,2021-06-09 18:36:17.000000,EQcorrscan,,2021-06-08 11:07:06.904229,,,,,,,,2016_11_27t02_47_52,Strike-slip
10,10,2009-03-08 13:18:54.025000,-41.7577,174.24449,11338.0,1.53703987553,,0.0,,smi:local/2016_12_13t05_52_12_20090308T131857.077537,454.0,1.53703987553,,,ML,0.0,0.0,7.0,21.0,0.446932981973,342.0,0.0,626.0,2021-06-09 18:36:19.000000,EQcorrscan,,2021-06-08 11:09:01.656402,,,,,,,,2016_12_13t05_52_12,Strike-slip
11,11,2009-03-08 13:19:26.061000,-41.7577,174.24449,11338.0,1.56781913288,,0.0,,smi:local/2016_12_13t05_52_12_20090308T131929.044203,444.0,1.56781913288,,,ML,0.0,0.0,6.0,23.0,0.463886988904,455.0,0.0,626.0,2021-06-09 18:36:21.000000,EQcorrscan,,2021-06-08 11:09:01.632692,,,,,,,,2016_12_13t05_52_12,Strike-slip
12,12,2009-03-12 10:01:53.907000,-41.71152,174.30566,15780.0,1.41062032315,,0.0,,smi:local/2016_11_25t03_04_24_20090312T100158.458389,284.0,1.41062032315,,,ML,0.0,0.0,8.0,16.0,0.67339692002,226.0,0.0,177.0,2021-06-09 18:36:24.000000,EQcorrscan,,2021-06-08 11:11:20.873106,,,,,,,,2016_11_25t03_04_24,Normal
13,13,2009-03-19 18:27:36.178172,-41.670893,175.38728,5710.938,2.451710061,,10.0,253.8,smi:local/2017_04_09t10_58_03_20090319T182740.894863,,2.451710061,,,ML,4.0,6.0,4.0,6.0,0.449754,10.0,8.0,4771.32057192,2021-06-09 18:36:26.000000,EQcorrscan,,2021-06-08 11:13:25.153751,,"BSWZ, CAW, CMWZ, KIW, MTW, NNZ, PLWZ, THZ",,,,,,2017_04_09t10_58_03,Strike-slip
14,14,2009-03-20 01:54:36.140000,-41.75288,174.24006,12432.0,1.48479521158,,0.0,,smi:local/2016_11_15t12_50_46_20090320T015439.388199,1098.0,1.48479521158,,,ML,0.0,0.0,4.0,8.0,1.36405797101,26.0,0.0,774.0,2021-06-09 18:36:27.000000,EQcorrscan,,2021-06-08 11:14:10.629965,,,,,,,,2016_11_15t12_50_46,Strike-slip
15,15,2009-04-08 04:31:50.919000,-41.73942,174.26986,8909.0,1.50807511039,,0.0,,smi:local/2016_12_03t23_29_19_20090408T043153.597527,659.0,1.50807511039,,,ML,0.0,0.0,4.0,14.0,0.736666666667,26.0,0.0,346.0,2021-06-09 18:36:29.000000,EQcorrscan,,2021-06-08 11:17:46.703789,,,,,,,,2016_12_03t23_29_19,Strike-slip
16,16,2009-04-16 08:44:19.163000,-41.71193,174.25666,11069.0,2.11761969397,,0.0,,smi:local/2016_11_14t02_50_51_20090416T084422.828127,304.0,2.11761969397,,,ML,0.0,0.0,9.0,22.0,8.67266183575,217.0,0.0,381.0,2021-06-09 18:36:31.000000,EQcorrscan,,2021-06-08 11:19:55.035065,,,,,,,,2016_11_14t02_50_51,Strike-slip
17,17,2009-04-16 22:49:56.644004,-41.841392,174.265757,2078.125,1.53860584755,,7.0,223.715,smi:local/2016_11_19t07_19_01_20090416T224956.255041,,1.53860584755,,,ML,5.0,2.0,5.0,4.0,0.222691,7.0,6.0,18938.6641556,2021-06-09 18:36:33.000000,EQcorrscan,,2021-06-08 11:20:43.926660,,"BSWZ, KIW, MTW, OGWZ, PLWZ, TCW",,,,,,2016_11_19t07_19_01,Strike-slip
18,18,2009-04-16 22:49:58.061000,-41.79964,174.19407,14299.0,1.60677303455,,0.0,,smi:local/2016_11_13t14_28_14_20090416T225002.021707,139.0,1.60677303455,,,ML,0.0,0.0,10.0,22.0,0.515248666063,317.0,0.0,94.0,2021-06-09 18:36:35.000000,EQcorrscan,,2021-06-08 11:20:43.886523,,,,,,,,2016_11_13t14_28_14,Strike-slip
19,19,2009-04-16 23:14:54.164059,-41.769896,174.179269,11179.688,0.988028270645,,10.0,211.795,smi:local/2016_11_13t14_28_14_20090416T231456.921707,,0.988028270645,,,ML,4.0,6.0,4.0,10.0,0.28107,10.0,7.0,3135.1523089,2021-06-09 18:36:36.000000,EQcorrscan,,2021-06-08 11:20:43.900159,,"BSWZ, CAW, CMWZ, MTW, TCW, THZ, TUWZ",,,,,,2016_11_13t14_28_14,Strike-slip
20,20,2009-04-17 19:13:06.888000,-42.67407,172.84244,9879.0,1.13658855357,,0.0,,smi:local/2017_01_18t11_35_13_20090417T191314.855041,743.0,1.13658855357,,,ML,0.0,0.0,4.0,5.0,0.7,20.0,0.0,651.0,2021-06-09 18:36:38.000000,EQcorrscan,,2021-06-08 11:20:43.913183,,,,,,,,2017_01_18t11_35_13,Strike-slip
21,21,2009-05-01 11:29:15.119000,-41.78531,174.3216,8158.0,1.94174623593,,0.0,,smi:local/2016_11_24t04_43_15_20090501T112918.334196,1473.0,1.94174623593,,,ML,0.0,0.0,3.0,12.0,1.52351097179,40.0,0.0,598.0,2021-06-09 18:36:39.000000,EQcorrscan,,2021-06-08 11:23:19.504013,,,,,,,,2016_11_24t04_43_15,Reverse
22,22,2009-05-01 11:58:34.574000,-41.79458,174.29565,8521.0,1.54948918094,,0.0,,smi:local/2016_11_24t04_43_15_20090501T115837.867530,1.0,1.54948918094,,,ML,0.0,0.0,3.0,9.0,1.946,14.0,0.0,0.0,2021-06-09 18:36:41.000000,EQcorrscan,,2021-06-08 11:23:19.527783,,,,,,,,2016_11_24t04_43_15,Reverse
23,23,2009-05-09 01:10:26.972802,-41.786089,174.228898,14460.938,1.22384957067,,13.0,176.116,smi:local/2016_11_14t07_29_29_20090509T011030.331701,,1.22384957067,,,ML,5.0,8.0,5.0,11.0,0.465842,13.0,9.0,2340.72638298,2021-06-09 18:36:42.000000,EQcorrscan,,2021-06-08 11:26:16.825004,,"BSWZ, CAW, CMWZ, KHZ, KIW, LTZ, NNZ, TCW, TUWZ",,,,,,2016_11_14t07_29_29,Unknown
24,24,2009-05-13 15:27:38.124000,-41.7266,174.32602,15623.0,1.55440327394,,0.0,,smi:local/2016_11_16t03_08_46_20090513T152742.711521,319.0,1.55440327394,,,ML,0.0,0.0,4.0,15.0,0.280004930966,205.0,0.0,320.0,2021-06-09 18:36:44.000000,EQcorrscan,,2021-06-08 11:28:15.636025,,,,,,,,2016_11_16t03_08_46,Unknown
25,25,2009-05-13 16:27:26.116000,-41.72685,174.32569,15635.0,1.44295060275,,0.0,,smi:local/2016_11_16t03_08_46_20090513T162730.811521,321.0,1.44295060275,,,ML,0.0,0.0,5.0,14.0,0.207683982684,190.0,0.0,327.0,2021-06-09 18:36:45.000000,EQcorrscan,,2021-06-08 11:28:15.647409,,,,,,,,2016_11_16t03_08_46,Unknown
26,26,2009-05-13 19:55:55.507820,-41.705699,174.344571,12820.312,1.27349511739,,8.0,167.522,smi:local/2016_11_14t18_01_21_20090513T195559.078187,,1.27349511739,,,ML,2.0,6.0,2.0,10.0,0.372494,8.0,7.0,5345.35312211,2021-06-09 18:36:46.000000,EQcorrscan,,2021-06-08 11:28:15.665757,,"BSWZ, CMWZ, NNZ, PLWZ, TCW, THZ, TUWZ",,,,,,2016_11_14t18_01_21,Reverse
27,27,2009-05-18 18:10:14.785655,-41.747694,174.365772,13914.062,1.66520789402,,7.0,152.425,smi:local/2016_11_15t19_04_02_20090518T181018.621533,,1.66520789402,,,ML,2.0,5.0,2.0,5.0,0.224584,7.0,6.0,3873.52552593,2021-06-09 18:36:48.000000,EQcorrscan,,2021-06-08 11:28:53.094703,,"CMWZ, KIW, NNZ, OXZ, PLWZ, THZ",,,,,,2016_11_15t19_04_02,Strike-slip
28,28,2009-06-09 16:20:36.068124,-42.105674,173.724795,9695.312,1.24273990232,,9.0,178.994,smi:local/2016_11_27t02_47_52_20090609T162039.250197,,1.24273990232,,,ML,3.0,6.0,3.0,8.0,0.309891,9.0,6.0,5724.76200379,2021-06-09 18:36:49.000000,EQcorrscan,,2021-06-08 11:32:23.599393,,"BSWZ, KHZ, LTZ, NNZ, TCW, TUWZ",,,,,,2016_11_27t02_47_52,Strike-slip
29,29,2009-06-14 00:20:22.022000,-42.25716,173.86848,7290.0,1.58887480805,,0.0,,smi:local/2016_11_15t01_27_02_20090614T002029.093523,146.0,1.58887480805,,,ML,0.0,0.0,4.0,17.0,1.59523809524,134.0,0.0,337.0,2021-06-09 18:36:51.000000,EQcorrscan,,2021-06-08 11:34:17.337345,,,,,,,,2016_11_15t01_27_02,Strike-slip
30,30,2009-06-24 08:39:51.200000,-41.77576,174.2746,15046.0,1.31268210465,,0.0,,smi:local/2016_11_14t09_15_10_20090624T083955.311529,480.0,1.31268210465,,,ML,0.0,0.0,9.0,17.0,0.448534265191,304.0,0.0,449.0,2021-06-09 18:36:53.000000,EQcorrscan,,2021-06-08 11:35:57.445302,,,,,,,,2016_11_14t09_15_10,Unknown
31,31,2009-06-26 13:04:10.651251,-41.92709,174.076181,4421.875,2.06648797203,,9.0,208.122,smi:local/2016_11_13t16_44_09_20090626T130416.368385,,2.06648797203,,,ML,3.0,6.0,3.0,8.0,0.346685,9.0,6.0,4239.06829386,2021-06-09 18:36:54.000000,EQcorrscan,,2021-06-08 11:36:28.487895,,"BSWZ, CAW, DSZ, PLWZ, THZ, TUWZ",,,,,,2016_11_13t16_44_09,Reverse
32,32,2009-07-12 14:36:29.992000,-41.80561,174.27156,12961.0,1.2474237734,,0.0,,smi:local/2016_11_14t07_29_29_20090712T143634.376869,859.0,1.2474237734,,,ML,0.0,0.0,6.0,15.0,0.545788898004,191.0,0.0,494.0,2021-06-09 18:36:55.000000,EQcorrscan,,2021-06-08 11:40:15.506610,,,,,,,,2016_11_14t07_29_29,Unknown
33,33,2009-07-14 07:17:50.930000,-41.68795,174.26733,13914.0,1.36677437868,,0.0,,smi:local/2016_12_27t03_29_44_20090714T071754.667539,184.0,1.36677437868,,,ML,0.0,0.0,9.0,22.0,0.458497585984,946.0,0.0,280.0,2021-06-09 18:36:58.000000,EQcorrscan,,2021-06-08 11:41:38.085883,,,,,,,,2016_12_27t03_29_44,Strike-slip
34,34,2009-07-17 15:24:50.228000,-41.65564,174.18436,26148.0,1.29227800725,,0.0,,smi:local/2016_11_23t17_19_19_20090717T152455.420209,147.0,1.29227800725,,,ML,0.0,0.0,5.0,16.0,1.07548863636,71.0,0.0,237.0,2021-06-09 18:37:00.000000,EQcorrscan,,2021-06-08 11:43:33.255145,,,,,,,,2016_11_23t17_19_19,Strike-slip
35,35,2009-07-20 12:27:44.764000,-41.88043,174.19318,7855.0,1.57349219601,,0.0,,smi:local/2016_11_17t11_53_00_20090720T122749.074883,254.0,1.57349219601,,,ML,0.0,0.0,7.0,11.0,0.894384705882,193.0,0.0,392.0,2021-06-09 18:37:02.000000,EQcorrscan,,2021-06-08 11:45:06.415636,,,,,,,,2016_11_17t11_53_00,Strike-slip
36,36,2009-07-20 12:31:21.832000,-41.8805,174.19251,7867.0,1.74065938002,,0.0,,smi:local/2016_11_17t11_53_00_20090720T123125.974883,286.0,1.74065938002,,,ML,0.0,0.0,9.0,12.0,0.77442527033,243.0,0.0,457.0,2021-06-09 18:37:03.000000,EQcorrscan,,2021-06-08 11:45:06.398553,,,,,,,,2016_11_17t11_53_00,Strike-slip
37,37,2009-07-21 15:49:00.965000,-41.73569,174.25306,9925.0,1.99786572808,,0.0,,smi:local/2016_11_20t12_22_47_20090721T154904.501544,237.0,1.99786572808,,,ML,0.0,0.0,8.0,27.0,0.674234286334,452.0,0.0,322.0,2021-06-09 18:37:06.000000,EQcorrscan,,2021-06-08 11:45:50.886843,,,,,,,,2016_11_20t12_22_47,Reverse
38,38,2009-07-21 16:55:16.986000,-41.7359,174.25275,9897.0,1.90264228044,,0.0,,smi:local/2016_11_20t12_22_47_20090721T165519.834877,235.0,1.90264228044,,,ML,0.0,0.0,5.0,22.0,0.259154334038,216.0,0.0,331.0,2021-06-09 18:37:08.000000,EQcorrscan,,2021-06-08 11:45:50.907454,,,,,,,,2016_11_20t12_22_47,Reverse
39,39,2009-07-21 22:37:59.657000,-41.73618,174.25347,10045.0,1.44213165945,,0.0,,smi:local/2016_11_15t02_01_53_20090721T223801.834877,238.0,1.44213165945,,,ML,0.0,0.0,2.0,9.0,4.78409090909,50.0,0.0,330.0,2021-06-09 18:37:09.000000,EQcorrscan,,2021-06-08 11:45:50.872362,,,,,,,,2016_11_15t02_01_53,Unknown
